claims_in_past_90_days,days_since_last_claim,amount_vs_policy_max_ratio,user_role,amount_claimed,budget_utilization_ratio,days_since_expense,is_weekend_expense,historical_approval_rate,has_policy_violation,violation_severity,manager_comment_length,flags_count,is_fraud
2,48,0.5169,Employee,120.97909441224526,0.0381,5,False,0.9296,False,none,5,0,0
1,4,0.4768,Manager,442.32,0.0561,1,False,0.8733,True,low,15,1,0
0,-1,0.1438,Manager,121.58,0.0133,0,False,0.0,False,none,13,0,0
0,-1,0.6207,Manager,555.57,0.0633,292,False,0.7953,True,medium,30,2,1
5,8,0.1945,Director,666.83,0.035,1,False,0.8512,False,none,12,0,0
2,26,0.1668,Employee,55.56,0.0137,4,True,0.9793,True,low,14,1,0
1,8,0.0632,Employee,26.44,0.0071,14,False,0.9108,False,none,14,0,0
3,38,0.3267,Director,873.31,0.0404,1,True,0.9101,False,none,10,0,0
1,13,0.4208,Manager,513.67,0.0449,9,False,0.9859,False,none,4,0,0
0,-1,0.1941,Employee,97.4,0.0304,12,False,0.0,False,none,15,0,0
2,42,0.1624,Employee,68.58,0.022,8,False,0.9453,False,none,10,0,0
2,4,0.6511,Contractor,136.881839884164,0.1144,2,True,0.9028,False,none,1,0,0
34,2,0.0224,Director,80.99,0.0046,3,False,0.8863,False,none,1,3,1
0,-1,0.167,Director,503.61,0.0228,4,True,0.0,True,low,16,1,0
2,3,0.1633,Director,430.01,0.0299,3,False,0.8872,False,none,5,0,0
2,4,0.4767,Director,1043.42,0.0475,1,False,0.9684,True,low,16,1,0
2,39,1.0304,Employee,455.897567480643,0.1483,0,False,0.981,False,none,4,0,0
2,46,0.5709,Employee,279.9774214534874,0.094,8,False,0.9907,False,none,10,0,0
1,34,0.438,Manager,493.36,0.0516,12,False,0.864,False,none,0,0,0
5,15,0.365,Employee,125.17,0.0567,9,True,1.0,False,none,3,0,0
1,57,0.4291,Employee,211.52,0.1056,12,True,0.9649,False,none,5,0,0
5,3,0.2429,Manager,252.94,0.029,8,False,0.9116,False,none,14,0,0
0,-1,0.2079,Manager,211.92,0.0292,5,False,0.0,False,none,6,0,0
0,-1,0.1563,Director,439.97,0.0176,1,False,0.0,False,none,5,0,0
2,56,0.5312,Director,2054.67,0.0988,0,False,0.9057,False,none,3,0,0
5,28,0.581,Manager,408.407237811933,0.0502,3,False,0.8638,False,none,11,0,0
2,6,0.066,Employee,39.06,0.0123,2,True,0.9062,False,none,10,0,0
1,9,0.1996,Employee,64.71,0.027,0,False,0.9638,False,none,2,0,0
2,5,1.9789,Employee,982.58,0.3129,0,True,0.5205,True,medium,157,3,1
3,35,0.3159,Manager,252.8,0.0264,23,False,0.8525,False,none,4,0,0
1,43,0.0693,Contractor,17.09,0.0129,1,False,0.8628,True,low,43,1,0
0,-1,0.7653,Manager,776.65,0.1113,17,True,0.0,False,none,11,0,0
2,41,0.12,Contractor,30.83,0.0348,3,False,0.8655,False,none,4,0,0
8,3,1.8631,Employee,1019.38,0.2595,0,True,0.4252,True,high,125,2,1
2,26,0.4298,Manager,377.09,0.0511,2,False,0.9984,False,none,6,0,0
2,52,0.0,Director,298.55,0.014,1,False,0.9052,False,none,12,0,0
3,18,0.4203,Employee,179.41,0.0667,8,False,0.9702,True,low,48,1,0
8,19,0.0639,Employee,40.41,0.0174,4,False,0.896,False,none,14,0,0
2,18,0.4033,Contractor,88.13,0.1013,8,False,0.9459,True,low,50,1,0
3,55,0.1866,Employee,86.4,0.0346,1,False,0.9411,True,low,14,1,0
2,10,0.2833,Manager,311.35,0.0375,3,False,0.9519,False,none,2,0,0
4,8,0.3903,Employee,183.12,0.0585,13,True,0.8539,False,none,3,0,0
2,59,0.2664,Employee,175.2,0.0641,4,False,0.9998,False,none,2,0,0
1,55,0.1548,Director,575.51,0.0414,0,False,0.998,False,none,9,0,0
3,51,0.0548,Director,176.66,0.0091,29,False,0.9042,False,none,4,0,0
2,36,0.6005,Employee,213.29,0.1269,5,False,0.8695,True,low,35,1,0
2,5,0.6702,Manager,602.9,0.1013,14,False,0.8688,True,low,39,1,0
3,12,0.0647,Employee,44.27,0.0188,1,True,0.9652,False,none,1,0,0
4,15,0.2898,Employee,124.85,0.041,10,False,0.9019,False,none,2,0,0
1,35,0.3797,Manager,433.43,0.0473,0,False,0.864,False,none,4,0,0
2,3,0.4717,Manager,529.0,0.0636,0,True,0.9738,True,low,46,1,0
0,-1,0.336,Employee,145.26,0.0356,4,False,0.0,False,none,9,0,0
2,4,0.2493,Director,533.95,0.0229,0,False,0.8737,False,none,10,0,0
3,26,0.0929,Employee,42.25,0.0273,3,False,0.8696,False,none,10,0,0
2,25,0.1886,Employee,108.64,0.0382,4,False,0.9796,False,none,5,0,0
1,33,0.1347,Director,446.46,0.0165,0,False,0.92,False,none,2,0,0
3,4,0.2378,Employee,119.79,0.0499,0,False,0.8922,False,none,15,0,0
5,24,0.6455,Contractor,136.2052619256054,0.1621,11,False,0.9646,False,none,6,0,0
3,53,0.3279,Employee,175.69,0.0464,0,False,0.9984,False,none,3,0,0
3,13,0.62,Manager,492.12,0.0688,28,False,0.9404,True,low,12,1,0
5,20,4.9597,Employee,3039.99,1.0057,10,False,0.6953,True,high,315,8,1
0,-1,0.1293,Employee,66.18,0.0196,0,False,0.0,False,none,11,0,0
2,56,0.4353,Employee,206.44,0.1033,2,True,0.9532,False,none,7,0,0
3,54,0.6138,Employee,346.65,0.1106,11,False,0.907,False,none,3,0,0
1,33,0.6121,Employee,206.11060236212822,0.0776,4,False,0.9662,False,none,1,0,0
2,25,0.3975,Employee,205.88,0.0784,1,True,0.8971,False,none,10,0,0
2,17,0.4658,Manager,463.43,0.0469,4,True,0.9415,False,none,9,0,0
3,46,0.1323,Executive,612.46,0.0132,7,False,0.9234,False,none,8,0,0
2,23,0.0815,Employee,28.06,0.0099,4,False,0.9932,False,none,9,0,0
1,14,0.433,Contractor,91.0,0.1093,6,False,0.8803,False,none,8,0,0
1,13,7.2846,Manager,6815.99,0.602,18,False,0.5587,True,high,274,3,1
1,60,0.6355,Contractor,136.81,0.126,1,False,0.9821,False,none,9,0,0
1,35,0.1652,Manager,173.08,0.0214,0,False,0.9608,True,low,21,1,0
0,-1,0.2786,Director,958.44,0.0487,0,False,0.0,False,none,9,0,0
2,19,0.6594,Contractor,79.17,0.0669,5,False,0.9182,False,none,4,0,0
1,30,0.4009,Employee,244.9,0.1031,5,False,0.9472,True,low,31,1,0
1,58,0.3334,Employee,131.56,0.0361,9,False,0.9108,False,none,12,0,0
2,17,0.6364,Employee,327.7859966568535,0.1018,13,False,0.9075,False,none,10,0,0
2,4,0.0,Manager,440.5113623662532,0.0557,5,False,0.9502,False,none,9,0,0
1,9,0.1326,Manager,164.08,0.0193,18,False,0.9217,False,none,11,0,0
3,14,0.328,Employee,196.98,0.0692,5,False,0.9643,False,none,2,0,0
3,54,0.4085,Employee,262.85,0.0783,3,False,0.9321,False,none,4,0,0
1,32,0.1985,Director,443.31,0.033,2,False,0.8636,False,none,14,0,0
2,61,0.7646,Employee,500.98,0.1257,382,False,0.7449,True,medium,39,3,1
30,0,0.1164,Employee,50.19,0.0115,1,False,0.8297,False,none,20,3,1
0,-1,0.034,Employee,20.31,0.0072,2,False,0.0,True,low,44,1,0
9,3,0.6902,Director,3019.14,0.2091,0,True,0.7339,True,medium,168,4,1
3,23,0.6361,Employee,383.1147492567419,0.0858,1,True,0.8733,False,none,3,0,0
22,0,0.0175,Manager,19.42,0.0026,4,True,0.7793,False,none,1,3,1
0,-1,0.433,Contractor,93.39,0.0971,3,False,0.0,False,none,9,0,0
2,53,0.7898,Director,1956.9,0.1218,6,False,0.8981,False,none,7,0,0
0,-1,0.0962,Employee,42.15,0.016,0,True,0.0,False,none,15,0,0
2,86,1.4505,Employee,584.66,0.1755,389,True,0.59,True,medium,98,3,1
2,59,0.1357,Director,425.22,0.0206,8,False,0.8586,False,none,4,0,0
3,24,0.4949,Employee,218.81,0.072,1,False,0.8639,False,none,8,0,0
3,38,0.0,Manager,97.68,0.0119,7,False,0.9586,False,none,10,0,0
2,48,0.1419,Director,574.81,0.0248,4,False,0.9999,False,none,6,0,0
2,42,0.3159,Employee,228.18,0.1011,0,False,0.9039,False,none,15,0,0
1,14,0.6761,Director,1730.2486794604595,0.0695,2,False,0.9056,False,none,7,0,0
4,19,0.1605,Contractor,31.54,0.0208,0,False,0.8729,False,none,7,0,0
1,47,0.8313,Manager,1103.78,0.1239,0,False,0.9463,False,none,11,0,0
1,42,0.2406,Manager,187.64,0.0273,8,False,0.9936,False,none,2,0,0
3,15,0.09,Manager,86.41,0.0103,2,True,0.8602,False,none,14,0,0
0,-1,0.2138,Manager,243.56,0.0219,4,False,0.0,True,low,45,1,0
1,33,0.3689,Contractor,99.27,0.1238,2,False,0.972,False,none,5,0,0
1,77,1.1939,Contractor,203.65,0.1633,383,True,0.6119,True,medium,88,5,1
6,42,0.2076,Executive,1164.55,0.0298,7,False,0.9988,True,low,35,1,0
2,32,0.2587,Employee,132.78,0.0,1,False,0.9768,False,none,3,0,0
2,37,0.0819,Director,207.15,0.0141,3,True,0.9213,True,low,27,1,0
4,14,0.0,Employee,149.27,0.0452,8,False,0.9381,False,none,12,0,0
4,44,0.2037,Employee,118.92,0.0335,2,False,0.9845,False,none,4,0,0
2,7,0.2771,Manager,306.84,0.0468,9,False,0.9156,False,none,12,0,0
2,15,0.5781,Employee,288.54,0.0967,3,False,0.9034,False,none,12,0,0
23,0,0.0803,Manager,63.2,0.0084,5,True,0.7169,False,none,3,2,1
19,0,0.0138,Director,36.23,0.0019,3,False,0.7537,False,none,0,1,1
1,5,1.4623,Employee,739.43,0.2229,1,True,0.5551,True,medium,112,6,1
1,32,0.0563,Employee,30.88,0.0102,5,True,0.8719,False,none,9,0,0
0,-1,0.125,Contractor,27.69,0.0372,7,False,0.0,False,none,3,0,0
6,8,1.3671,Contractor,296.24,0.3436,1,True,0.5722,True,medium,132,4,1
0,-1,0.252,Manager,223.63,0.0305,5,False,0.0,False,none,15,0,0
4,24,0.195,Manager,167.47,0.0209,3,False,0.8671,False,none,5,0,0
1,29,0.3421,Employee,135.35,0.0471,2,False,0.9697,True,low,36,1,0
1,28,0.4597,Employee,275.33,0.0828,2,True,0.9684,False,none,15,0,0
1,3,0.6492,Employee,299.2,0.1,1,False,0.9686,False,none,2,0,0
33,2,0.2494,Employee,104.85,0.0351,3,False,0.6995,False,none,3,2,1
4,24,5.8433,Employee,3260.17,1.0613,9,False,0.6989,True,high,126,6,1
0,-1,0.3281,Director,792.8,0.032,3,False,0.0,False,none,6,0,0
2,5,0.2867,Employee,130.62,0.0529,7,False,0.895,False,none,10,0,0
2,12,0.5135,Manager,689.32,0.0995,9,False,0.9328,False,none,14,0,0
2,2,0.3795,Employee,271.59,0.103,3,False,0.9606,False,none,13,0,0
2,5,0.1646,Manager,174.45,0.02,0,False,0.9366,False,none,11,0,0
3,41,0.1102,Employee,51.06,0.0164,0,False,0.897,False,none,3,0,0
2,20,0.2114,Director,510.87,0.0242,0,False,0.9878,False,none,10,0,0
7,10,1.0025,Employee,562.11,0.1484,0,True,0.6299,True,high,174,3,1
3,32,0.159,Manager,143.06,0.0169,17,True,0.8933,False,none,1,0,0
4,36,0.3604,Executive,1570.0,0.0265,2,False,0.9258,False,none,13,0,0
3,15,0.059,Employee,31.11,0.0131,0,False,0.8938,False,none,5,0,0
5,37,0.0985,Employee,51.33,0.0177,3,False,0.8671,False,none,11,0,0
2,28,0.4567,Manager,540.06,0.0615,3,False,0.8654,False,none,9,0,0
4,56,0.182,Contractor,39.31,0.0452,3,False,0.9991,False,none,11,0,0
4,53,0.0656,Manager,73.34,0.0082,3,True,0.881,False,none,8,0,0
3,55,0.1968,Employee,94.28,0.0379,2,False,0.9272,False,none,4,0,0
0,-1,0.8595,Manager,960.67,0.1138,7,True,0.0,False,none,7,0,0
8,3,1.9207,Employee,681.87,0.2919,1,True,0.6511,True,high,69,5,1
4,60,0.0672,Director,168.53,0.0101,5,False,0.9816,False,none,0,0,0
2,45,0.2812,Director,1040.32,0.0587,4,True,0.9037,False,none,6,0,0
3,36,0.656,Director,1638.9845378561663,0.0597,8,False,0.9367,False,none,10,0,0
0,-1,0.0,Manager,299.19,0.0447,2,True,0.0,False,none,5,0,0
1,9,0.2826,Contractor,64.4,0.0541,1,False,0.9823,False,none,8,0,0
3,17,2.8884,Employee,1870.97,0.7502,18,True,0.5518,True,high,154,3,1
5,45,0.1034,Employee,50.31,0.0153,7,True,0.9015,False,none,4,0,0
2,24,0.2333,Employee,111.37,0.0459,2,True,0.9821,False,none,4,0,0
2,11,0.0599,Manager,72.9,0.0089,2,False,0.916,False,none,4,0,0
0,-1,0.1067,Manager,117.67,0.0165,0,True,0.0,False,none,12,0,0
3,16,0.8545,Employee,181.82398409252593,0.0609,4,False,0.933,False,none,0,0,0
0,-1,0.3689,Manager,398.05,0.0562,0,False,0.0,False,none,1,0,0
2,41,0.1434,Manager,146.91,0.0228,1,False,0.9391,False,none,11,0,0
0,-1,0.2097,Employee,98.47,0.025,11,False,0.0,False,none,2,0,0
40,1,0.4058,Contractor,80.93,0.0793,5,False,0.8301,False,none,12,2,1
0,-1,0.7685,Employee,297.34,0.1531,441,True,0.7923,True,medium,98,3,1
0,-1,0.5014,Employee,263.11,0.0862,2,False,0.0,False,none,7,0,0
24,2,0.5584,Contractor,113.84,0.0967,5,True,0.6038,False,none,0,1,1
4,11,0.5786,Executive,2361.06,0.0607,0,False,0.9058,False,none,3,0,0
2,46,0.5351,Contractor,97.89110429548903,0.1098,9,False,0.9963,False,none,11,0,0
33,2,0.0407,Director,111.19,0.0059,1,False,0.6008,False,none,7,1,1
32,2,0.2207,Employee,113.69,0.0352,3,True,0.6745,False,none,10,3,1
1,12,0.1134,Contractor,30.91,0.0314,14,False,0.8835,True,low,35,1,0
0,-1,0.3011,Employee,163.71,0.0462,463,False,0.5024,True,medium,67,3,1
0,-1,0.8254,Employee,329.368804123929,0.0977,3,False,0.0,False,none,6,0,0
1,2,0.1857,Employee,89.47,0.0234,7,False,0.8849,False,none,0,0,0
4,7,0.3853,Contractor,64.74,0.0911,20,False,0.8808,False,none,1,0,0
1,55,0.3246,Employee,160.34,0.0627,5,False,0.928,False,none,2,0,0
3,4,0.6392,Employee,375.93,0.137,1,False,0.9152,False,none,8,0,0
3,29,0.6794,Director,2186.1218010693124,0.0858,5,True,0.8908,False,none,3,0,0
4,50,0.6176,Employee,341.93,0.1308,1,False,0.8811,False,none,3,0,0
21,1,0.0127,Director,30.77,0.0014,5,True,0.7067,False,none,1,3,1
5,29,0.2165,Employee,152.93,0.0648,10,False,0.9334,True,low,16,1,0
0,-1,0.0,Employee,57.94,0.0151,4,True,0.0,False,none,11,0,0
1,5,0.3782,Director,1076.6,0.0396,6,True,0.8533,False,none,14,0,0
2,30,0.3215,Contractor,68.66,0.073,8,False,0.8576,False,none,12,0,0
3,18,0.146,Employee,92.24,0.0534,6,False,0.892,True,low,49,1,0
3,6,0.1991,Manager,176.55,0.024,9,True,0.892,False,none,7,0,0
1,23,0.4953,Director,882.75,0.0408,5,False,0.922,False,none,10,0,0
3,50,0.1755,Employee,108.74,0.0467,3,False,0.8921,False,none,11,0,0
0,-1,0.1579,Executive,872.2,0.0218,1,False,0.0,False,none,1,0,0
3,60,0.3601,Director,1191.42,0.0575,5,False,0.9759,False,none,10,0,0
3,37,0.3081,Manager,338.29,0.0524,2,False,0.9345,False,none,15,0,0
4,2,0.0,Employee,139.52,0.0521,12,True,0.929,False,none,6,0,0
3,4,0.1237,Employee,70.97,0.0211,6,False,0.8533,False,none,3,0,0
1,26,0.2653,Director,968.63,0.0592,3,False,0.9379,False,none,5,0,0
1,46,0.1113,Employee,64.57,0.0318,11,False,0.9953,False,none,11,0,0
2,9,0.7831,Employee,307.95,0.0946,0,True,0.8767,False,none,12,0,0
3,52,0.2796,Manager,320.63,0.0461,8,False,0.9951,False,none,15,0,0
1,30,7.2714,Manager,6592.1,1.0116,15,False,0.2057,True,high,163,4,1
3,29,0.4276,Employee,223.97,0.0625,1,False,0.9599,False,none,15,0,0
3,37,0.4706,Employee,304.68,0.1093,6,False,0.9476,False,none,2,0,0
0,-1,0.0,Contractor,63.73,0.0609,2,False,0.0,False,none,5,0,0
5,40,0.3835,Employee,130.31,0.0303,1,False,0.984,False,none,5,0,0
1,27,0.2758,Employee,125.77,0.0751,1,False,0.9546,False,none,8,0,0
0,-1,0.1594,Employee,46.74,0.0153,0,False,0.0,True,low,10,1,0
3,2,0.4128,Employee,193.63,0.076,0,False,0.881,False,none,15,0,0
3,6,0.2933,Employee,185.97,0.0753,6,False,0.9463,False,none,12,0,0
3,18,0.0826,Employee,35.45,0.0169,8,True,0.9346,False,none,3,0,0
4,26,6.652,Employee,2272.24,0.7361,18,False,0.4864,True,high,221,4,1
2,34,0.45,Employee,197.33,0.0766,0,False,0.9701,False,none,3,0,0
3,13,0.3464,Employee,225.92,0.0835,0,False,0.8689,False,none,13,0,0
3,47,0.3741,Director,1084.6,0.0475,11,True,0.9871,False,none,12,0,0
2,45,0.0763,Director,231.53,0.0136,0,False,0.9435,False,none,13,0,0
18,2,0.2736,Employee,119.14,0.0653,2,False,0.864,False,none,8,2,1
4,10,0.6515,Employee,373.46936682637454,0.1063,1,False,0.9427,False,none,12,0,0
3,58,0.4834,Employee,228.86,0.0593,4,False,0.9059,False,none,9,0,0
3,9,0.0723,Employee,39.67,0.0105,2,False,0.8951,False,none,10,0,0
2,53,0.3867,Employee,156.07,0.0569,2,False,0.9111,False,none,11,0,0
2,9,0.1203,Employee,58.2,0.0159,22,False,0.9671,False,none,5,0,0
0,-1,0.2098,Director,867.5,0.0478,3,False,0.0,False,none,8,0,0
0,-1,0.5401,Employee,208.1,0.0708,0,False,0.0,False,none,14,0,0
